SkillSpector Angular Data.

Create Date 3/7/2018
Time 13:30:29

Ankle Angle Z	Knee Angle Z	
120.192	213.767	
118.660	208.312	
116.573	196.351	
116.186	188.792	
117.222	191.273	
119.030	200.926	
119.328	210.485	
116.678	214.414	
112.299	213.044	
108.191	209.983	
105.739	207.606	
104.931	205.508	
105.012	202.401	
105.379	198.344	
105.767	194.974	
106.319	193.910	
107.789	195.623	
111.663	199.954	
119.449	206.976	
129.609	216.877	
136.220	229.018	
136.055	241.200	
130.155	249.640	
122.230	250.728	
118.337	244.286	
118.847	232.848	
119.244	218.485	
117.083	203.720	
115.122	193.257	
115.455	190.992	
117.162	196.599	
118.915	205.599	
118.817	212.491	
115.684	214.734	
110.589	213.464	
106.712	211.743	
