SkillSpector Linear Data.

Create Date 3/7/2018
Time 13:29:25

Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	
-0.128	-0.041	-0.353	0.007	-0.220	0.023	-0.359	-0.009	-0.187	0.421	-0.375	-0.087	-0.381	0.769	-0.397	-0.167	
-0.059	-0.024	2.950	0.601	-0.157	0.026	2.731	0.094	-0.167	0.412	1.127	-0.238	-0.363	0.753	1.056	-0.415	
0.108	0.008	4.091	0.625	-0.002	0.031	3.855	0.080	-0.097	0.402	2.052	-0.191	-0.296	0.735	1.956	-0.352	
0.268	0.026	3.007	0.090	0.152	0.032	2.939	-0.067	-0.003	0.397	2.275	-0.052	-0.207	0.725	2.136	-0.191	
0.348	0.015	1.063	-0.508	0.233	0.026	1.182	-0.213	0.085	0.397	1.975	0.037	-0.125	0.720	1.808	-0.087	
0.353	-0.015	-0.128	-0.695	0.246	0.015	0.053	-0.228	0.155	0.400	1.601	0.041	-0.062	0.718	1.520	0.005	
0.338	-0.041	-0.139	-0.438	0.238	0.007	-0.017	-0.121	0.213	0.401	1.382	0.005	-0.004	0.721	1.560	0.174	
0.342	-0.050	0.275	-0.073	0.245	0.005	0.315	-0.007	0.265	0.400	1.191	-0.028	0.063	0.732	1.714	0.362	
0.360	-0.047	0.316	0.090	0.263	0.007	0.317	0.027	0.308	0.398	0.845	-0.051	0.134	0.750	1.625	0.421	
0.367	-0.043	-0.029	0.035	0.270	0.008	-0.034	0.003	0.333	0.396	0.417	-0.063	0.193	0.766	1.264	0.298	
0.358	-0.044	-0.256	-0.055	0.260	0.007	-0.265	-0.005	0.342	0.393	0.156	-0.055	0.235	0.773	0.946	0.106	
0.347	-0.047	-0.115	-0.048	0.249	0.007	-0.121	0.034	0.346	0.392	0.180	-0.025	0.269	0.774	0.934	-0.009	
0.348	-0.048	0.135	0.020	0.251	0.010	0.154	0.087	0.356	0.391	0.339	0.010	0.309	0.773	1.142	-0.016	
0.358	-0.046	0.163	0.050	0.261	0.014	0.212	0.121	0.373	0.392	0.427	0.024	0.360	0.773	1.273	0.001	
0.361	-0.044	-0.011	0.012	0.267	0.019	0.047	0.146	0.390	0.393	0.437	0.010	0.411	0.773	1.201	-0.035	
0.357	-0.045	-0.138	-0.036	0.265	0.026	-0.048	0.200	0.408	0.393	0.550	-0.027	0.456	0.770	1.104	-0.120	
0.350	-0.047	-0.108	-0.014	0.264	0.035	0.134	0.307	0.434	0.391	0.909	-0.088	0.500	0.763	1.234	-0.192	
0.348	-0.046	0.003	0.123	0.276	0.050	0.539	0.467	0.480	0.386	1.461	-0.170	0.555	0.755	1.600	-0.208	
0.351	-0.037	0.208	0.364	0.307	0.073	1.029	0.646	0.551	0.378	2.025	-0.253	0.628	0.747	1.943	-0.182	
0.365	-0.017	0.737	0.613	0.358	0.102	1.586	0.765	0.642	0.366	2.470	-0.282	0.710	0.740	2.005	-0.147	
0.410	0.012	1.754	0.684	0.434	0.134	2.253	0.695	0.749	0.355	2.778	-0.195	0.788	0.735	1.786	-0.110	
0.505	0.038	3.046	0.411	0.538	0.158	2.960	0.341	0.865	0.350	2.969	0.021	0.853	0.731	1.528	-0.031	
0.653	0.045	4.140	-0.160	0.670	0.161	3.541	-0.238	0.986	0.357	3.020	0.304	0.910	0.732	1.465	0.117	
0.836	0.025	4.740	-0.699	0.822	0.139	3.924	-0.794	1.106	0.375	2.883	0.516	0.970	0.741	1.605	0.274	
1.032	-0.011	4.946	-0.800	0.984	0.098	4.203	-1.033	1.217	0.398	2.563	0.521	1.039	0.754	1.769	0.303	
1.232	-0.039	4.997	-0.349	1.158	0.056	4.443	-0.848	1.311	0.416	2.166	0.292	1.112	0.765	1.805	0.113	
1.432	-0.039	4.887	0.318	1.340	0.030	4.491	-0.415	1.390	0.421	1.862	-0.039	1.183	0.763	1.737	-0.208	
1.623	-0.013	4.367	0.670	1.517	0.023	4.075	-0.049	1.460	0.413	1.774	-0.256	1.251	0.748	1.705	-0.428	
1.782	0.015	3.306	0.439	1.666	0.026	3.125	0.053	1.532	0.401	1.884	-0.234	1.319	0.729	1.777	-0.385	
1.887	0.022	1.962	-0.154	1.767	0.027	1.924	-0.066	1.611	0.394	2.025	-0.054	1.393	0.717	1.867	-0.155	
1.939	0.003	0.810	-0.627	1.820	0.021	0.911	-0.209	1.694	0.397	2.000	0.085	1.469	0.717	1.863	0.044	
1.952	-0.028	0.166	-0.665	1.840	0.010	0.338	-0.226	1.771	0.401	1.741	0.066	1.542	0.721	1.779	0.110	
1.952	-0.051	-0.008	-0.345	1.847	0.003	0.147	-0.116	1.833	0.402	1.352	-0.038	1.611	0.725	1.715	0.158	
1.952	-0.056	0.035	0.012	1.852	0.001	0.119	0.016	1.879	0.398	0.975	-0.076	1.679	0.734	1.640	0.304	
1.955	-0.050	0.074	0.152	1.856	0.004	0.088	0.073	1.911	0.396	0.638	-0.011	1.742	0.750	1.321	0.431	
1.958	-0.044	0.112	0.293	1.859	0.007	0.058	0.130	1.930	0.397	0.301	0.054	1.785	0.768	1.002	0.558	
